"Date","Price","Open","High","Low","Vol.","Change %"
"04/02/2026","159.50","158.83","159.76","158.54","","0.43%"
"04/01/2026","158.81","158.71","159.02","158.26","","0.06%"
"03/31/2026","158.72","159.75","159.99","158.65","","-0.63%"
"03/30/2026","159.73","159.98","160.48","159.32","","-0.32%"
"03/29/2026","160.24","160.23","160.46","160.11","","-0.05%"
"03/27/2026","160.32","159.72","160.42","159.45","","0.31%"
"03/26/2026","159.82","159.49","159.86","159.27","","0.22%"
"03/25/2026","159.47","158.70","159.51","158.57","","0.49%"
"03/24/2026","158.70","158.43","159.20","158.26","","0.16%"
"03/23/2026","158.44","159.23","159.67","158.03","","-0.50%"
"03/20/2026","159.23","157.71","159.39","157.61","","0.94%"
"03/19/2026","157.74","159.86","159.88","157.51","","-1.34%"
"03/18/2026","159.88","159.04","159.91","158.57","","0.55%"
"03/17/2026","159.01","159.11","159.51","158.71","","-0.04%"
"03/16/2026","159.07","159.65","159.76","158.85","","-0.41%"
"03/13/2026","159.73","159.35","159.75","159.00","","0.24%"
"03/12/2026","159.35","158.95","159.44","158.57","","0.25%"
"03/11/2026","158.95","158.06","158.99","157.86","","0.57%"
"03/10/2026","158.05","157.68","158.14","157.26","","0.24%"
"03/09/2026","157.67","157.79","158.90","157.63","","-0.08%"
"03/06/2026","157.80","157.54","158.10","157.38","","0.13%"
"03/05/2026","157.59","157.07","157.87","156.45","","0.34%"
"03/04/2026","157.06","157.48","157.88","156.86","","-0.43%"
"03/03/2026","157.74","157.40","157.98","157.14","","0.24%"
"03/02/2026","157.37","155.65","157.76","155.65","","0.84%"
"02/27/2026","156.06","156.13","156.25","155.52","","-0.04%"
"02/26/2026","156.13","156.36","156.45","155.71","","-0.15%"
"02/25/2026","156.36","155.89","156.83","155.35","","0.30%"
"02/24/2026","155.89","154.64","156.30","154.51","","0.81%"
"02/23/2026","154.64","154.93","155.06","153.99","","-0.28%"
"02/20/2026","155.07","155.05","155.65","154.71","","0.05%"
"02/19/2026","155.00","154.80","155.35","154.54","","0.11%"
"02/18/2026","154.83","153.32","154.88","153.07","","1.00%"
"02/17/2026","153.29","153.51","153.93","152.70","","-0.14%"
"02/16/2026","153.51","152.64","153.64","152.54","","0.53%"
"02/13/2026","152.70","152.74","153.68","152.58","","-0.03%"
"02/12/2026","152.75","153.26","153.76","152.26","","-0.33%"
"02/11/2026","153.26","154.40","154.66","152.55","","-0.73%"
"02/10/2026","154.39","155.85","156.31","154.05","","-0.96%"
"02/09/2026","155.89","157.21","157.74","155.51","","-0.84%"
"02/06/2026","157.21","157.04","157.28","156.51","","0.11%"
"02/05/2026","157.04","156.83","157.35","156.52","","0.11%"
"02/04/2026","156.87","155.75","156.95","155.69","","0.72%"
"02/03/2026","155.75","155.64","156.09","155.30","","0.08%"
"02/02/2026","155.62","154.73","155.79","154.55","","0.55%"
"01/30/2026","154.77","153.07","154.81","152.87","","1.08%"
"01/29/2026","153.12","153.41","153.55","152.68","","-0.19%"
"01/28/2026","153.41","152.20","154.06","152.19","","0.80%"
"01/27/2026","152.20","154.15","154.89","152.09","","-1.28%"
"01/26/2026","154.17","155.12","155.35","153.31","","-1.00%"
"01/23/2026","155.72","158.39","159.24","155.64","","-1.70%"
"01/22/2026","158.41","158.29","158.90","158.18","","0.09%"
"01/21/2026","158.27","158.17","158.54","157.74","","0.07%"
"01/20/2026","158.16","158.10","158.62","157.48","","0.03%"
"01/19/2026","158.12","157.94","158.18","157.42","","0.00%"
"01/16/2026","158.12","158.64","158.71","157.82","","-0.33%"
"01/15/2026","158.64","158.41","158.89","158.21","","0.12%"
"01/14/2026","158.45","159.14","159.46","158.10","","-0.43%"
"01/13/2026","159.14","158.18","159.20","157.90","","0.62%"
"01/12/2026","158.16","158.07","158.21","157.53","","0.17%"
"01/09/2026","157.89","156.88","158.20","156.81","","0.64%"
"01/08/2026","156.88","156.76","157.08","156.45","","0.07%"
"01/07/2026","156.77","156.64","156.82","156.29","","0.08%"
"01/06/2026","156.64","156.36","156.81","156.15","","0.16%"
"01/05/2026","156.39","156.76","157.31","156.11","","-0.29%"
"01/02/2026","156.84","156.68","157.01","156.52","","0.11%"
"01/01/2026","156.67","156.68","156.70","156.64","","0.00%"
"12/31/2025","156.67","156.37","157.00","156.32","","0.17%"
"12/30/2025","156.41","156.07","156.57","155.75","","0.22%"
"12/29/2025","156.06","156.51","156.60","155.92","","-0.33%"
"12/26/2025","156.57","155.92","156.74","155.75","","0.49%"
"12/25/2025","155.80","155.85","155.98","155.67","","-0.09%"
"12/24/2025","155.94","156.26","156.30","155.56","","-0.19%"
"12/23/2025","156.23","157.08","157.09","155.64","","-0.53%"
"12/22/2025","157.07","157.70","157.76","156.70","","-0.44%"
"12/19/2025","157.76","155.51","157.78","155.50","","1.41%"
"12/18/2025","155.56","155.67","155.99","155.27","","-0.08%"
"12/17/2025","155.69","154.70","155.76","154.51","","0.63%"
"12/16/2025","154.72","155.24","155.29","154.39","","-0.32%"
"12/15/2025","155.22","155.87","156.00","154.82","","-0.39%"
"12/12/2025","155.82","155.62","156.14","155.44","","0.15%"
"12/11/2025","155.59","156.03","156.18","154.94","","-0.28%"
"12/10/2025","156.02","156.87","156.95","155.79","","-0.55%"
"12/09/2025","156.88","155.91","156.96","155.74","","0.61%"
"12/08/2025","155.93","155.19","156.00","154.89","","0.37%"
"12/05/2025","155.35","155.10","155.51","154.33","","0.16%"
"12/04/2025","155.10","155.26","155.56","154.51","","-0.10%"
"12/03/2025","155.26","155.88","155.95","155.01","","-0.39%"
"12/02/2025","155.87","155.45","156.19","155.43","","0.27%"
"12/01/2025","155.45","156.11","156.27","154.66","","-0.47%"
"11/28/2025","156.18","156.30","156.60","155.98","","-0.08%"
"11/27/2025","156.31","156.48","156.51","155.71","","-0.11%"
"11/26/2025","156.48","156.06","156.75","155.64","","0.27%"
"11/25/2025","156.06","156.89","157.00","155.80","","-0.54%"
"11/24/2025","156.91","156.66","157.20","156.34","","0.33%"
"11/21/2025","156.39","157.48","157.57","156.20","","-0.69%"
"11/20/2025","157.48","157.16","157.90","156.88","","0.20%"
"11/19/2025","157.16","155.51","157.19","155.20","","1.06%"
"11/18/2025","155.51","155.26","155.75","154.81","","0.16%"
"11/17/2025","155.26","154.41","155.32","154.41","","0.46%"
"11/14/2025","154.55","154.55","154.77","153.61","","-0.01%"
"11/13/2025","154.57","154.82","155.02","154.13","","-0.14%"
"11/12/2025","154.79","154.15","155.06","154.05","","0.41%"
"11/11/2025","154.16","154.09","154.51","153.65","","0.01%"
"11/10/2025","154.15","153.32","154.26","153.32","","0.47%"
"11/07/2025","153.43","153.07","153.61","152.82","","0.24%"
"11/06/2025","153.07","154.14","154.15","152.82","","-0.68%"
"11/05/2025","154.12","153.68","154.37","152.95","","0.29%"
"11/04/2025","153.68","154.22","154.50","153.31","","-0.35%"
"11/03/2025","154.22","154.11","154.31","153.93","","0.14%"
"10/31/2025","154.01","154.13","154.43","153.64","","-0.08%"
"10/30/2025","154.13","152.74","154.46","152.16","","0.92%"
"10/29/2025","152.73","152.12","153.07","151.54","","0.41%"
"10/28/2025","152.11","152.87","152.89","151.75","","-0.50%"
"10/27/2025","152.88","153.05","153.26","152.56","","0.01%"
"10/24/2025","152.87","152.57","153.08","152.32","","0.18%"
"10/23/2025","152.59","151.98","152.81","151.82","","0.39%"
"10/22/2025","151.99","151.93","152.06","151.49","","0.03%"
"10/21/2025","151.94","150.75","152.19","150.46","","0.79%"
"10/20/2025","150.75","150.46","151.21","150.26","","0.07%"
"10/17/2025","150.64","150.40","150.64","149.38","","0.14%"
"10/16/2025","150.43","151.04","151.41","150.21","","-0.41%"
"10/15/2025","151.05","151.85","151.89","150.89","","-0.53%"
"10/14/2025","151.85","152.28","152.63","151.60","","-0.28%"
"10/13/2025","152.28","151.80","152.46","151.71","","0.73%"
"10/10/2025","151.18","153.08","153.29","151.15","","-1.23%"
"10/09/2025","153.07","152.74","153.24","152.22","","0.25%"
"10/08/2025","152.69","151.91","153.01","151.74","","0.51%"
"10/07/2025","151.91","150.34","152.06","150.24","","1.03%"
"10/06/2025","150.36","149.23","150.49","149.05","","1.97%"
"10/03/2025","147.45","147.26","147.83","147.08","","0.13%"
"10/02/2025","147.26","147.07","147.52","146.60","","0.13%"
"10/01/2025","147.07","147.92","148.24","146.58","","-0.57%"
"09/30/2025","147.92","148.60","148.85","147.64","","-0.46%"
"09/29/2025","148.60","149.50","149.56","148.46","","-0.61%"
"09/26/2025","149.51","149.85","149.96","149.39","","-0.19%"
"09/25/2025","149.80","148.90","149.94","148.56","","0.60%"
"09/24/2025","148.91","147.64","148.92","147.51","","0.86%"
"09/23/2025","147.64","147.72","147.94","147.45","","-0.05%"
"09/22/2025","147.72","147.96","148.39","147.65","","-0.17%"
